open_time,open,high,low,close,volume
1754546400000,3685.89,3710.0,3685.0,3693.66,176572.988
1754550000000,3693.65,3708.39,3692.49,3701.0,103216.674
1754553600000,3701.0,3726.6,3700.88,3720.26,257556.388
1754557200000,3720.25,3732.88,3713.28,3730.12,140161.009
1754560800000,3730.13,3825.58,3728.29,3819.33,880878.076
1754564400000,3819.33,3841.45,3805.0,3825.66,384786.305
1754568000000,3825.67,3850.0,3821.99,3848.47,315753.966
1754571600000,3848.48,3864.54,3825.0,3855.96,405931.718
1754575200000,3855.96,3856.73,3802.57,3818.99,419429.54
1754578800000,3818.99,3839.51,3813.33,3835.15,212780.362
1754582400000,3835.15,3842.5,3777.14,3813.18,402196.158
1754586000000,3813.19,3833.0,3802.5,3827.91,169144.118
1754589600000,3827.89,3828.84,3805.85,3825.67,128596.847
1754593200000,3825.68,3875.0,3820.09,3865.48,303056.371
1754596800000,3865.47,3881.0,3849.0,3872.39,192219.173
1754600400000,3872.4,3886.11,3855.99,3869.61,149343.091
1754604000000,3869.6,3926.38,3866.12,3915.13,337522.835
1754607600000,3915.13,3916.47,3887.46,3908.4,187068.075
1754611200000,3908.4,3935.88,3880.0,3898.38,415509.481
1754614800000,3898.38,3916.24,3876.7,3885.47,224694.806
1754618400000,3885.47,3904.16,3877.29,3892.0,129508.388
1754622000000,3892.0,3968.81,3890.58,3938.05,465967.807
1754625600000,3938.05,3938.4,3913.9,3919.33,162791.798
1754629200000,3919.33,3919.56,3892.96,3900.23,131856.826
1754632800000,3900.23,3918.88,3893.14,3913.2,117830.783
1754636400000,3913.2,3927.0,3898.69,3914.88,132249.597
1754640000000,3914.87,3926.89,3885.0,3897.2,189717.647
1754643600000,3897.21,3901.38,3883.11,3898.8,96503.518
1754647200000,3898.81,3907.48,3885.18,3895.94,84750.626
1754650800000,3895.94,3919.0,3895.52,3916.29,119115.455
1754654400000,3916.28,3916.29,3890.69,3890.86,114742.074
1754658000000,3890.85,4011.09,3890.06,3998.95,772097.916
1754661600000,3998.94,4005.0,3941.83,3983.41,752003.434
1754665200000,3983.42,3988.0,3925.0,3953.0,391003.828
1754668800000,3953.0,3976.61,3949.41,3969.81,193206.02
1754672400000,3969.8,4034.0,3966.8,4031.83,510093.686
1754676000000,4031.84,4057.57,4029.04,4056.16,394279.073
1754679600000,4056.17,4066.0,4030.05,4059.99,227382.881
1754683200000,4060.0,4070.0,4044.56,4056.82,157034.152
1754686800000,4056.81,4058.18,4037.15,4037.31,74166.265
1754690400000,4037.31,4038.45,4016.5,4024.33,178103.621
1754694000000,4024.34,4031.63,4005.52,4009.05,110733.175
1754697600000,4009.04,4025.38,4005.02,4016.08,101798.363
1754701200000,4016.08,4035.79,4009.11,4031.59,104937.087
1754704800000,4031.59,4037.46,4021.93,4030.66,78128.482
1754708400000,4030.66,4050.91,4023.3,4049.33,178031.455
1754712000000,4049.34,4101.39,4043.26,4079.43,390095.22
1754715600000,4079.42,4220.0,4074.23,4180.74,1071142.138
1754719200000,4180.74,4182.78,4141.17,4161.36,327915.826
1754722800000,4161.36,4176.14,4155.32,4169.7,129092.699
1754726400000,4169.71,4202.76,4164.38,4188.75,240358.475
1754730000000,4188.75,4248.87,4172.23,4217.99,345156.593
1754733600000,4217.98,4246.65,4211.01,4216.13,359290.06
1754737200000,4216.13,4216.97,4182.0,4189.39,241248.688
1754740800000,4189.39,4206.97,4181.0,4195.41,172611.974
1754744400000,4195.4,4198.56,4162.6,4164.83,265945.817
1754748000000,4164.82,4197.58,4152.57,4195.48,239079.99
1754751600000,4195.48,4225.5,4170.0,4207.51,360640.103
1754755200000,4207.52,4224.92,4191.0,4206.0,186270.74
1754758800000,4206.01,4238.43,4198.5,4233.28,166067.986
1754762400000,4233.27,4257.37,4218.58,4240.6,190908.579
1754766000000,4240.6,4271.1,4235.07,4256.64,176751.191
1754769600000,4256.64,4293.26,4254.84,4289.34,327529.337
1754773200000,4289.35,4298.48,4260.12,4276.23,269560.184
1754776800000,4276.22,4325.24,4238.74,4262.55,444793.235
1754780400000,4262.55,4273.63,4245.91,4259.1,180678.508
1754784000000,4259.11,4331.99,4245.69,4309.45,262979.231
1754787600000,4309.44,4321.8,4285.85,4299.28,234311.584
1754791200000,4299.29,4303.38,4245.3,4245.3,323222.915
1754794800000,4245.31,4256.72,4205.0,4241.14,466498.404
1754798400000,4241.14,4263.35,4225.23,4249.99,165413.539
1754802000000,4249.99,4249.99,4211.73,4219.14,182543.598
1754805600000,4219.15,4235.45,4202.0,4223.97,216446.356
1754809200000,4223.98,4232.86,4175.51,4184.36,306833.731
1754812800000,4184.36,4219.0,4161.02,4208.69,300296.18
1754816400000,4208.69,4230.0,4208.69,4223.99,111835.52
1754820000000,4223.99,4232.0,4190.67,4196.82,184703.765
1754823600000,4196.81,4220.1,4174.55,4179.11,216712.876
1754827200000,4179.11,4200.0,4172.04,4199.13,189507.138
1754830800000,4199.13,4203.92,4164.0,4166.01,157694.888
1754834400000,4166.01,4225.0,4160.0,4217.58,263745.492
1754838000000,4217.57,4237.87,4208.0,4216.12,159751.647
1754841600000,4216.11,4240.0,4212.75,4232.22,112403.924
1754845200000,4232.21,4247.32,4222.27,4222.9,92447.201
1754848800000,4222.91,4235.42,4216.01,4234.32,70404.288
1754852400000,4234.32,4257.96,4228.8,4247.2,110529.795
1754856000000,4247.2,4249.14,4206.63,4214.77,191945.554
1754859600000,4214.78,4221.7,4184.05,4221.68,181894.874
1754863200000,4221.67,4249.0,4203.0,4248.91,126883.469
1754866800000,4248.91,4252.82,4225.76,4248.77,116118.682
1754870400000,4248.77,4284.7,4236.36,4260.58,247527.612
1754874000000,4260.58,4320.57,4258.44,4302.04,351115.724
1754877600000,4302.04,4346.0,4291.96,4307.12,414102.816
1754881200000,4307.13,4310.77,4282.0,4307.77,201671.618
1754884800000,4307.78,4349.67,4303.32,4318.06,266205.872
1754888400000,4318.07,4330.0,4288.77,4304.34,170566.288
1754892000000,4304.33,4310.67,4293.25,4297.05,95749.831
1754895600000,4297.05,4302.3,4263.92,4272.93,205638.355
1754899200000,4272.93,4284.3,4252.7,4280.56,218317.247
1754902800000,4280.56,4282.76,4258.75,4264.96,105187.844
1754906400000,4264.96,4267.81,4208.31,4235.26,310115.07
1754910000000,4235.27,4238.88,4168.03,4183.51,460221.931
1754913600000,4183.51,4194.87,4164.23,4182.22,333301.952
1754917200000,4182.22,4305.61,4168.55,4278.56,847473.62
1754920800000,4278.56,4320.0,4261.62,4276.25,579499.895
1754924400000,4276.28,4331.5,4256.61,4328.88,378696.305
1754928000000,4328.88,4370.0,4310.74,4310.91,602692.951
1754931600000,4310.91,4320.93,4280.87,4292.29,291321.147
1754935200000,4292.28,4306.96,4265.0,4293.35,224393.225
1754938800000,4293.36,4307.5,4232.0,4257.53,257019.732
1754942400000,4257.53,4257.53,4219.38,4241.3,210990.269
1754946000000,4241.28,4254.0,4185.6,4218.0,226180.291
1754949600000,4218.0,4223.88,4188.0,4218.45,160108.311
1754953200000,4218.44,4234.0,4212.33,4221.31,122540.439
1754956800000,4221.31,4282.59,4216.61,4272.0,235738.369
1754960400000,4272.0,4290.65,4256.51,4268.83,174036.297
1754964000000,4268.83,4309.82,4260.43,4290.03,183093.618
1754967600000,4290.03,4303.3,4272.98,4284.2,142216.248
1754971200000,4284.2,4320.63,4278.21,4309.32,153100.388
1754974800000,4309.32,4309.32,4266.0,4283.74,229267.451
1754978400000,4283.75,4311.51,4271.0,4289.15,173784.973
1754982000000,4289.16,4318.0,4289.16,4314.23,152963.413
1754985600000,4314.23,4332.74,4294.01,4309.49,212235.497
1754989200000,4309.49,4316.0,4284.81,4286.85,170548.21
1754992800000,4286.84,4298.0,4272.79,4276.36,162718.758
1754996400000,4276.35,4296.5,4255.56,4289.35,220190.185
1755000000000,4289.35,4428.39,4276.1,4404.92,1112662.476
1755003600000,4404.92,4434.0,4350.51,4381.42,905860.683
1755007200000,4381.43,4423.39,4373.69,4413.5,379527.903
1755010800000,4413.5,4482.3,4412.44,4470.98,633773.433
1755014400000,4470.98,4488.0,4438.0,4463.87,539320.475
1755018000000,4463.87,4505.0,4461.44,4498.55,515825.07
1755021600000,4498.55,4519.0,4475.46,4488.92,354299.459
1755025200000,4488.93,4517.53,4480.65,4515.17,186885.122
1755028800000,4515.18,4640.0,4501.45,4620.25,912523.351
1755032400000,4620.25,4620.25,4577.64,4585.45,290688.239
1755036000000,4585.45,4591.02,4561.08,4575.49,200805.714
1755039600000,4575.48,4615.82,4572.31,4589.31,236651.831
1755043200000,4589.31,4638.56,4582.42,4612.83,269439.689
1755046800000,4612.83,4617.37,4562.59,4583.61,301331.673
1755050400000,4583.61,4627.56,4569.0,4622.01,203958.335
1755054000000,4622.01,4656.62,4606.02,4645.39,314514.848
1755057600000,4645.4,4682.0,4644.0,4672.01,352345.264
1755061200000,4672.02,4673.69,4620.57,4630.73,261831.599
1755064800000,4630.73,4649.12,4605.9,4621.52,232457.054
1755068400000,4621.52,4631.4,4609.29,4624.29,129652.962
1755072000000,4624.29,4638.0,4607.0,4623.98,168884.341
1755075600000,4623.98,4714.5,4621.14,4706.81,429469.448
1755079200000,4706.8,4716.0,4687.0,4693.61,283331.05
1755082800000,4693.6,4707.09,4668.0,4689.37,234230.991
1755086400000,4689.38,4722.5,4674.0,4684.87,412494.738
1755090000000,4684.87,4736.76,4640.99,4670.01,757095.822
1755093600000,4670.01,4704.55,4632.85,4647.62,672860.77
1755097200000,4647.62,4674.0,4613.11,4664.79,412258.894
1755100800000,4664.79,4738.78,4660.82,4700.05,479191.76
1755104400000,4700.05,4736.7,4696.37,4725.52,277540.294
1755108000000,4725.53,4752.54,4687.82,4714.87,368120.415
1755111600000,4714.87,4750.0,4707.56,4738.72,295384.093
1755115200000,4738.73,4742.38,4694.55,4716.6,165966.283
1755118800000,4716.6,4778.87,4712.5,4720.41,342477.22
1755122400000,4720.4,4783.48,4703.93,4732.2,340797.686
1755126000000,4732.2,4783.62,4731.13,4748.37,254397.256
1755129600000,4748.36,4764.74,4709.53,4714.8,346475.789
1755133200000,4714.79,4748.0,4706.0,4719.04,174752.527
1755136800000,4719.03,4769.0,4716.58,4749.89,201521.097
1755140400000,4749.89,4781.6,4740.32,4774.86,206508.86
1755144000000,4774.85,4788.78,4751.68,4759.46,209428.082
1755147600000,4759.45,4772.62,4724.1,4732.01,215495.001
1755151200000,4732.01,4794.0,4717.0,4777.0,385735.944
1755154800000,4777.01,4777.01,4730.3,4748.99,297585.401
1755158400000,4748.99,4750.18,4720.23,4726.8,160282.073
1755162000000,4726.8,4763.31,4718.96,4758.25,175362.488
1755165600000,4758.26,4767.0,4669.0,4707.79,530943.405
1755169200000,4707.78,4723.0,4692.37,4719.0,245496.99
1755172800000,4718.99,4736.99,4496.0,4568.49,1580626.283
1755176400000,4568.48,4637.86,4455.0,4611.24,1605155.324
1755180000000,4611.26,4703.27,4578.76,4669.37,785718.588
1755183600000,4669.37,4685.53,4586.2,4617.61,669581.423
1755187200000,4617.61,4623.22,4513.94,4544.8,801830.757
1755190800000,4544.8,4562.43,4505.04,4547.84,320082.65
1755194400000,4547.85,4557.75,4478.8,4537.04,397146.446
1755198000000,4537.04,4572.46,4531.96,4536.06,174574.863
1755201600000,4536.07,4544.63,4504.15,4532.03,193805.12
1755205200000,4532.03,4542.6,4451.0,4476.2,345940.781
1755208800000,4476.19,4531.6,4456.2,4530.45,208930.197
1755212400000,4530.44,4570.79,4527.74,4545.26,209579.581
1755216000000,4545.26,4590.0,4535.27,4560.85,240656.367
1755219600000,4560.85,4610.0,4553.1,4602.05,244451.409
1755223200000,4602.06,4642.0,4594.0,4619.85,210170.209
1755226800000,4619.86,4647.99,4611.06,4632.63,163280.952
1755230400000,4632.63,4645.68,4612.0,4623.5,142062.213
