side,entry_time,exit_time,entry_price,exit_price,gross_ret,fee_ret,net_ret,pnl,reason,capital_before,capital_after,position_notional,fee_usd,slippage_usd,window_id
short,2025-09-05 14:00:00+00:00,2025-09-05 16:30:00+00:00,4320.89,4294.88,0.006056048131728886,-0.0014079854999209385,0.004648062631807948,51.01542271597863,TRAIL_RSI,10975.63151728342,11026.646939999398,10975.63151728342,15.453530028810304,0.0,11
long,2025-09-14 17:00:00+00:00,2025-09-15 04:30:00+00:00,4615.77,4640.98,0.005461710613830162,-0.0014071537186211014,0.0040545568952090605,44.70816738161045,TRAIL_RSI,11026.646939999398,11071.355107381009,11026.646939999398,15.516187245542142,0.0,11
short,2025-09-27 00:30:00+00:00,2025-09-27 09:30:00+00:00,4025.02,3993.59,0.007870111854246353,-0.0014105243002411338,0.0064595875540052194,71.51638765761048,TRAIL_RSI,11071.355107381009,11142.871495038618,11071.355107381009,15.6164154155597,0.0,12
long,2025-09-30 19:00:00+00:00,2025-09-30 21:00:00+00:00,4123.67,4173.49,0.012081471116747844,-0.0014164181396425501,0.010665052977105294,118.83931481166333,TRAIL_RSI,11142.871495038618,11261.710809850281,11142.871495038618,15.782965313278602,0.0,13
long,2025-10-06 01:00:00+00:00,2025-10-06 07:30:00+00:00,4528.74,4530.98,0.0004946188122965101,-0.0014002022239740786,-0.0009055834116775685,-10.19841849651037,TRAIL_RSI,11261.710809850281,11251.512391353772,11261.710809850281,15.768672521705286,0.0,13
short,2025-10-12 13:00:00+00:00,2025-10-12 14:30:00+00:00,3812.8,3841.3960000000006,-0.007444168734491385,-0.0013890918114144446,-0.00883326054590583,-99.38754048831584,SL,11251.512391353772,11152.124850865455,11251.512391353772,15.62938372885768,0.0,13
short,2025-10-15 01:00:00+00:00,2025-10-15 01:30:00+00:00,4084.62,4105.0431,-0.00497512437810943,-0.0013925472636816538,-0.006367671641791084,-71.01306915856958,SL,11152.124850865455,11081.111781706886,11152.124850865455,15.529860945308862,0.0,14
short,2025-10-31 12:30:00+00:00,2025-10-31 13:00:00+00:00,3834.79,3853.9639499999994,-0.004975124378109319,-0.0013925472636816538,-0.006367671641790973,-70.56088125189078,SL,11081.111781706886,11010.550900454995,11081.111781706886,15.43097189016646,0.0,15
short,2025-11-16 11:00:00+00:00,2025-11-16 14:30:00+00:00,3171.54,3170.48,0.0003343342333022026,-0.0013999779041028448,-0.0010656436708006423,-11.733323879098178,TRAIL_RSI,11010.550900454995,10998.817576575897,11010.550900454995,15.414527972636675,0.0,16
short,2025-11-26 03:30:00+00:00,2025-11-26 05:30:00+00:00,2925.54,2940.1676999999995,-0.004975124378109319,-0.0013925472636816538,-0.006367671641790973,-70.03685877559445,SL,10998.817576575897,10928.780717800302,10998.817576575897,15.316373319994444,0.0,17
